Level	Name
class	Actinobacteria
class	Alphaproteobacteria
class	Anaerolineae
class	Bacilli
class	Bacteroidia
class	Betaproteobacteria
class	Chloroplast
class	Clostridia
class	Deinococci
class	Deltaproteobacteria
class	Epsilonproteobacteria
class	Erysipelotrichia
class	Flavobacteria
class	Fusobacteria
class	Gammaproteobacteria
class	Gemmatimonadetes
class	Methanobacteria
class	Methanopyri
class	Mollicutes
class	Negativicutes
class	Spartobacteria
class	Sphingobacteria
class	Spirochaetes
class	Synergistia
class	Thermomicrobia
class	Thermoprotei
domain	Archaea
domain	Bacteria
family	Acholeplasmataceae
family	Acidaminococcaceae
family	Actinomycetaceae
family	Aerococcaceae
family	Alcaligenaceae
family	Anaerolineaceae
family	Anaeroplasmataceae
family	Bacillaceae 1
family	Bacillaceae 2
family	Bacillales_Incertae Sedis XI
family	Bacteriovoracaceae
family	Bacteroidaceae
family	Bacteroidales_incertae_sedis
family	Beutenbergiaceae
family	Bifidobacteriaceae
family	Bradyrhizobiaceae
family	Brevibacteriaceae
family	Burkholderiaceae
family	Burkholderiales_incertae_sedis
family	Campylobacteraceae
family	Cardiobacteriaceae
family	Carnobacteriaceae
family	Caulobacteraceae
family	Chitinophagaceae
family	Chloroplast
family	Clostridiaceae 2
family	Clostridiaceae 4
family	Clostridiales_Incertae Sedis XI
family	Clostridiales_Incertae Sedis XII
family	Clostridiales_Incertae Sedis XIII
family	Comamonadaceae
family	Conexibacteraceae
family	Coriobacteriaceae
family	Corynebacteriaceae
family	Corynebacterineae_incertae_sedis
family	Cryomorphaceae
family	Cyclobacteriaceae
family	Cytophagaceae
family	Deinococcaceae
family	Dermabacteraceae
family	Desulfobulbaceae
family	Desulfohalobiaceae
family	Desulfomicrobiaceae
family	Desulfovibrionaceae
family	Dietziaceae
family	Enterobacteriaceae
family	Enterococcaceae
family	Erysipelotrichaceae
family	Erythrobacteraceae
family	Eubacteriaceae
family	Flavobacteriaceae
family	Fusobacteriaceae
family	Gemmatimonadaceae
family	Glycomycetaceae
family	Gracilibacteraceae
family	Halomonadaceae
family	Helicobacteraceae
family	Hydrogenimonaceae
family	Hyphomicrobiaceae
family	Intrasporangiaceae
family	Lachnospiraceae
family	Lactobacillaceae
family	Leptotrichiaceae
family	Leuconostocaceae
family	Listeriaceae
family	Methanobacteriaceae
family	Methanopyraceae
family	Methylobacteriaceae
family	Microbacteriaceae
family	Micrococcaceae
family	Micromonosporaceae
family	Moraxellaceae
family	Mycobacteriaceae
family	Mycoplasmataceae
family	Nakamurellaceae
family	Nautiliaceae
family	Neisseriaceae
family	Nocardiaceae
family	Nocardioidaceae
family	Oxalobacteraceae
family	Pasteurellaceae
family	Peptococcaceae 1
family	Peptostreptococcaceae
family	Planococcaceae
family	Porphyromonadaceae
family	Prevotellaceae
family	Promicromonosporaceae
family	Propionibacteriaceae
family	Pseudomonadaceae
family	Pseudonocardiaceae
family	Rhodobacteraceae
family	Rhodocyclaceae
family	Rikenellaceae
family	Ruminococcaceae
family	Shewanellaceae
family	Sphaerobacteraceae
family	Sphingomonadaceae
family	Spirochaetaceae
family	Staphylococcaceae
family	Streptococcaceae
family	Sutterellaceae
family	Synergistaceae
family	Syntrophomonadaceae
family	Thermaceae
family	Veillonellaceae
family	Xanthomonadaceae
genus	Abiotrophia
genus	Acetivibrio
genus	Acetonema
genus	Acholeplasma
genus	Acidaminococcus
genus	Acidovorax
genus	Acinetobacter
genus	Actinobacillus
genus	Actinobaculum
genus	Actinomyces
genus	Actinomycetospora
genus	Aeriscardovia
genus	Aestuariimicrobium
genus	Afipia
genus	Aggregatibacter
genus	Alkaliphilus
genus	Allisonella
genus	Alloscardovia
genus	Altererythrobacter
genus	Alysiella
genus	Aminiphilus
genus	Aminobacterium
genus	Anaeroglobus
genus	Anaerosinus
genus	Anaerovibrio
genus	Anaerovorax
genus	Anoxybacillus
genus	Aquabacterium
genus	Arthrobacter
genus	Asteroleplasma
genus	Atopobacter
genus	Atopobium
genus	Atopostipes
genus	Auritidibacter
genus	Azomonas
genus	Bacteriovorax
genus	Bacteroides
genus	Barnesiella
genus	Basfia
genus	Bavariicoccus
genus	Bellilinea
genus	Bergeriella
genus	Bergeyella
genus	Bibersteinia
genus	Bifidobacterium
genus	Bilophila
genus	Blautia
genus	Bordetella
genus	Bradyrhizobium
genus	Brevibacterium
genus	Brevundimonas
genus	Brochothrix
genus	Brooklawnia
genus	Bulleidia
genus	Burkholderia
genus	Butyrivibrio
genus	Campylobacter
genus	Capnocytophaga
genus	Cardiobacterium
genus	Carnobacterium
genus	Catellicoccus
genus	Catonella
genus	Cedecea
genus	Centipeda
genus	Chitiniphilus
genus	Chlorophyta
genus	Chryseobacterium
genus	Cloacibacillus
genus	Cloacibacterium
genus	Clostridium XIX
genus	Clostridium XlVb
genus	Coenonia
genus	Comamonas
genus	Conchiformibius
genus	Conexibacter
genus	Corynebacterium
genus	Croceicoccus
genus	Crocinitomix
genus	Cryptobacterium
genus	Deinococcus
genus	Delftia
genus	Dendrosporobacter
genus	Denitrobacterium
genus	Dermabacter
genus	Derxia
genus	Desemzia
genus	Desulfobulbus
genus	Desulfomicrobium
genus	Desulfovermiculus
genus	Desulfovibrio
genus	Dialister
genus	Diaphorobacter
genus	Dietzia
genus	Dolosigranulum
genus	Dysgonomonas
genus	Eikenella
genus	Enterobacter
genus	Enterococcus
genus	Erwinia
genus	Erysipelotrichaceae_incertae_sedis
genus	Escherichia/Shigella
genus	Eubacterium
genus	Filifactor
genus	Finegoldia
genus	Flavobacterium
genus	Flavonifractor
genus	Fusobacterium
genus	Gallibacterium
genus	Gardnerella
genus	Gemella
genus	Gemmatimonas
genus	Granulicatella
genus	Granulicoccus
genus	Guggenheimella
genus	Haemophilus
genus	Hafnia
genus	Hallella
genus	Halomonas
genus	Herbaspirillum
genus	Herminiimonas
genus	Howardella
genus	Hoyosella
genus	Hydrogenimonas
genus	Hymenobacter
genus	Isobaculum
genus	Janibacter
genus	Johnsonella
genus	Jonquetella
genus	Kingella
genus	Klebsiella
genus	Kocuria
genus	Lachnobacterium
genus	Lachnospiracea_incertae_sedis
genus	Lacticigenium
genus	Lactobacillus
genus	Lactococcus
genus	Lactonifactor
genus	Lactovum
genus	Leptotrichia
genus	Leuconostoc
genus	Levilinea
genus	Litoribacter
genus	Lonepinella
genus	Lutispora
genus	Mannheimia
genus	Massilia
genus	Megasphaera
genus	Melissococcus
genus	Metascardovia
genus	Methanobrevibacter
genus	Methanopyrus
genus	Methylobacterium
genus	Microbacterium
genus	Micrococcus
genus	Millisia
genus	Mitsuokella
genus	Modicisalibacter
genus	Mogibacterium
genus	Moryella
genus	Mycobacterium
genus	Mycoplasma
genus	Nakamurella
genus	Negativicoccus
genus	Neisseria
genus	Nicoletella
genus	Nitratiruptor
genus	Nocardioides
genus	Odoribacter
genus	Olsenella
genus	Oribacterium
genus	Oxalicibacterium
genus	Paludibacter
genus	Pandoraea
genus	Pantoea
genus	Paracoccus
genus	Paralactobacillus
genus	Paraprevotella
genus	Parascardovia
genus	Parvimonas
genus	Pasteurella
genus	Pectinatus
genus	Pediococcus
genus	Pelomonas
genus	Pelospora
genus	Peptococcus
genus	Peptoniphilus
genus	Peptostreptococcaceae_incertae_sedis
