TAXAID	NAME	TAXALEVEL	PARENT_TAXA_ID
508459	Cloacibacillus	genus	649777
146813	Dendrosporobacter	genus	31977
Not Mapped	 Betaproteobacteria 		
43994	Johnsonella	genus	186803
Not Mapped	 Parascardovia 		
303379	Herminiimonas	genus	75682
Not Mapped	 Nocardiaceae 		
1016	Capnocytophaga	genus	49546
1730	Eubacterium	genus	186806
85002	Sphaerobacteraceae	family	255728
Not Mapped	 Desulfomicrobium 		
Not Mapped	 Porphyromonas 		
219686	Gemmatimonadales	order	219685
213481	Bdellovibrionales	order	28221
Not Mapped	 Filifactor 		
84162	Cryptobacterium	genus	84107
2159	Methanobacteriaceae	family	2158
574347	Modicisalibacter	genus	28256
72293	Helicobacteraceae	family	213849
946234	Flavonifractor	genus	186813
2755	Brochothrix	genus	186820
Not Mapped	 Deinococci 		
893	Desulfobulbus	genus	213121
Not Mapped	 Phocaeicola 		
Not Mapped	 Acidovorax 		
1239	Firmicutes	phylum	2
1033	Afipia	genus	41294
Not Mapped	 Conchiformibius 		
29547	Epsilonproteobacteria	class	68525
Not Mapped	 Anaeroglobus 		
Not Mapped	 Actinobacteria 		
Not Mapped	 Peptostreptococcaceae 		
84108	Slackia	genus	84107
508215	Rothia	genus	163724
253255	Soehngenia	genus	543310
32012	Thiomonas	genus	224471
1578	Lactobacillus	genus	33958
59735	Bergeyella	genus	49546
Not Mapped	 Enterococcaceae 		
Not Mapped	 Proteobacteria 		
Not Mapped	 Bavariicoccus 		
713	Actinobacillus	genus	712
648802	Rummeliibacillus	genus	186818
543311	Parvimonas	genus	543310
538	Eikenella	genus	481
28056	Micromonosporaceae	family	85008
3041	Chlorophyta	phylum	33090
86331	Mogibacterium	genus	543314
517	Bordetella	genus	506
Not Mapped	 Tenericutes 		
Not Mapped	Erysipelotrichaceae_incertae_sedis		
237	Flavobacterium	genus	49546
416916	Aggregatibacter	genus	712
570	Klebsiella	genus	543
85019	Brevibacteriaceae	family	85006
219687	Gemmatimonadaceae	family	219686
Not Mapped	 Altererythrobacter 		
2070	Pseudonocardiaceae	family	85010
397864	Barnesiella	genus	171551
117747	Sphingobacteria	class	976
68933	Thermales	order	188787
Not Mapped	 Catonella 		
292628	Anaerolineaceae	family	292629
Not Mapped	 Neisseriaceae 		
28216	Betaproteobacteria	class	1224
206351	Neisseriales	order	28216
Not Mapped	 Desulfovibrio 		
563798	Cyclobacteriaceae	family	768507
194195	Alysiella	genus	481
Not Mapped	 Mannheimia 		
85008	Micromonosporineae	suborder	2037
Not Mapped	 Clostridia 		
Not Mapped	 Spirochaetales 		
Not Mapped	 Erysipelotrichaceae 		
44748	Sporobacter	genus	541000
171551	Porphyromonadaceae	family	171549
40840	Succiniclasticum	genus	909930
Not Mapped	 Bacillaceae 		
Not Mapped	 Stenotrophomonas 		
Not Mapped	 Bacteroidales 		
Not Mapped	 Bordetella 		
171552	Prevotellaceae	family	171549
Not Mapped	 Haemophilus 		
57493	Kocuria	genus	1268
40544	Sutterella	genus	995019
Not Mapped	 Leptotrichiaceae 		
160674	Raoultella	genus	543
1357	Lactococcus	genus	1300
Not Mapped	 Erysipelotrichaceae_incertae_sedis 		
186329	Acholeplasmatales	order	31969
Not Mapped	 Sphingomonadaceae 		
649776	Synergistales	order	649775
906	Megasphaera	genus	31977
118747	Bulleidia	genus	128827
Not Mapped	 Pseudomonas 		
Not Mapped	 Synergistetes 		
Not Mapped	 Halomonadaceae 		
Not Mapped	 Jonquetella 		
186333	Anaeroplasmataceae	family	186332
Not Mapped	 Phocoenobacter 		
2740	Peptococcus	genus	186807
2037	Actinomycetales	order	85003
Not Mapped	 Methylobacterium 		
155493	Gallibacterium	genus	712
481	Neisseriaceae	family	206351
85015	Nocardioidaceae	family	85009
758824	Bergeriella	genus	552934
13687	Sphingomonas	genus	41297
35493	Streptophyta	phylum	33090
228923	Guggenheimella	genus	543313
Not Mapped	 Mogibacterium 		
Not Mapped	 Coriobacterineae 		
290731	Aminiphilus	genus	649777
1243	Leuconostoc	genus	81850
Not Mapped	 Fusobacteria 		
213117	Desulfohalobiaceae	family	213115
Not Mapped	 Suttonella 		
Not Mapped	 Megasphaera 		
816	Bacteroides	genus	815
265976	Serinicoccus	genus	85021
45401	Hyphomicrobiaceae	family	356
Not Mapped	 Solobacterium 		
203133	Propionimicrobium	genus	31957
Not Mapped	 Corynebacterineae 		
Not Mapped	 Methanobacteriales 		
183924	Thermoprotei	class	28889
Not Mapped	 Moraxellaceae 		
Not Mapped	 Mycoplasmatales 		
Not Mapped	 Gemmatimonadaceae 		
1301	Streptococcus	genus	1300
81850	Leuconostocaceae	family	186826
Not Mapped	 Leuconostoc 		
Not Mapped	 SR1 		
Not Mapped	 Rhodococcus 		
Not Mapped	 Cyanobacteria/Chloroplast 		
85014	Glycomycineae	suborder	2037
Not Mapped	 Enterobacteriaceae 		
Not Mapped	 Bacteroides 		
864	Pectinatus	genus	31977
84107	Coriobacteriaceae	family	255727
85023	Microbacteriaceae	family	85006
Not Mapped	 Actinomycetospora 		
Not Mapped	 Clostridiales_Incertae 		
Not Mapped	 Sneathia 		
Not Mapped	 Gardnerella 		
Not Mapped	 Clostridium 		
Not Mapped	 Enterobacteriales 		
Not Mapped	 Prevotella 		
213121	Desulfobulbaceae	family	213118
76892	Caulobacteraceae	family	204458
1	root	no rank	1
Not Mapped	 Eubacterium 		
Not Mapped	 Paludibacter 		
Not Mapped	 Flavobacterium 		
1827	Rhodococcus	genus	85025
31969	Mollicutes	class	544448
201174	Actinobacteria	phylum	2
162289	Peptoniphilus	genus	543310
Not Mapped	 Paraprevotella 		
46123	Abiotrophia	genus	186827
271159	Nicoletella	genus	712
Not Mapped	 Pyramidobacter 		
90964	Staphylococcaceae	family	1385
1653	Corynebacteriaceae	family	85007
263369	Bacteriovoracaceae	family	213481
Not Mapped	 Serinicoccus 		
191494	Conexibacter	genus	320583
904	Acidaminococcus	genus	909930
32257	Kingella	genus	481
Not Mapped	 Anaerolineaceae 		
Not Mapped	 Gemella 		
Not Mapped	 Flavobacteria 		
283168	Odoribacter	genus	171551
585890	Chitiniphilus	genus	481
1762	Mycobacteriaceae	family	85007
Not Mapped	 Selenomonadales 		
1160973	Auritidibacter	genus	1268
246874	Cryomorphaceae	family	200644
Not Mapped	 Propionibacterineae 		
235899	Nautiliales	order	29547
Not Mapped	 Acidaminococcaceae 		
238749	Diaphorobacter	genus	80864
Not Mapped	 Bacillales_Incertae 		
53460	Nakamurella	genus	85031
Not Mapped	 Saccharopolyspora 		
40323	Stenotrophomonas	genus	32033
995019	Sutterellaceae	family	80840
136	Spirochaetales	order	203692
146	Spirochaeta	genus	137
80865	Delftia	genus	80864
Not Mapped	 Methanobacteriaceae 		
360541	Sporacetigenium	genus	186804
39948	Dialister	genus	31977
Not Mapped	 Alysiella 		
183713	Methanopyraceae	family	68985
Not Mapped	 Brochothrix 		
Not Mapped	 Blautia 		
85031	Nakamurellaceae	family	85013
Not Mapped	 Lactobacillus 		
Not Mapped	 Hymenobacter 		
Not Mapped	 Pseudonocardiaceae 		
146805	Phocoenobacter	genus	712
109324	Pelospora	genus	68298
